,Bernoulli Samples
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,1
285,0
286,0
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,0
429,0
430,0
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,1
443,0
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,1
463,1
464,0
465,0
466,1
467,0
468,0
469,0
470,1
471,0
472,1
473,1
474,0
475,1
476,0
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,0
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,0
564,0
565,1
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,1
609,1
610,0
611,1
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,1
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,1
646,1
647,1
648,1
649,1
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,1
662,1
663,1
664,1
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,0
679,0
680,1
681,0
682,0
683,1
684,0
685,0
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,1
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,1
769,1
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,0
782,1
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,1
796,0
797,0
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,0
811,0
812,1
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,0
827,1
828,1
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,1
850,0
851,0
852,0
853,1
854,0
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,0
864,1
865,1
866,0
867,0
868,1
869,1
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,0
878,0
879,0
880,1
881,0
882,0
883,1
884,0
885,0
886,0
887,0
888,0
889,1
890,0
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,1
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,1
946,1
947,0
948,0
949,0
950,1
951,1
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,1
965,0
966,1
967,0
968,0
969,0
970,1
971,1
972,1
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
